respondent_id,age_bin,gender,group_size,backpacking,training,fitness,footwear,pack_weight_bin,pack_weight_body_weight_bin,mi_day_bin,dificulty,whitney
3531110058,60 and up,Male,Solo,Over 100,Under 2,Below avg.,Hiking shoes,35 to 40,16 to 20%,10 to 12,Fairly,Summited
3525280858,40 to 49,Male,Group of 2+,11 to 20,5 to 8,Average,Boots,35 to 40,16 to 20%,12 to 14,Very,Summited
3520105744,40 to 49,Male,Solo,51 to 100,5 to 8,Average,Hiking shoes,35 to 40,16 to 20%,14 to 16,Somewhat,Summited
3661744956,Under 30,Female,Group of 2+,11 to 20,Under 2,Below avg.,Boots,Under 25,16 to 20%,10 to 12,Somewhat,Not planned
3522609137,30 to 39,Male,Solo,Under 5,2 to 4,Below avg.,Hiking shoes,35 to 40,16 to 20%,8 to 10,Fairly,Attempted
3541731091,50 to 59,Male,Solo,21 to 50,5 to 8,Above avg.,Trail runners,35 to 40,16 to 20%,12 to 14,Very,Attempted
3520299094,50 to 59,Female,Solo,51 to 100,Under 2,Out of shape,Hiking shoes,30 to 35,16 to 20%,14 to 16,Fairly,Summited
3527079670,30 to 39,Male,Solo,11 to 20,9 to 16,Average,Trail runners,25 to 30,16 to 20%,20 and up,Very,Summited
3660975147,50 to 59,Female,Group of 2+,21 to 50,5 to 8,Above avg.,Boots,25 to 30,16 to 20%,8 to 10,Somewhat,Not planned
3527334895,Under 30,Male,Mix of group/solo,11 to 20,2 to 4,Average,Hiking shoes,35 to 40,16 to 20%,16 to 18,Fairly,Summited
3674438856,40 to 49,Male,Group of 2+,51 to 100,5 to 8,Average,Trail runners,30 to 35,16 to 20%,8 to 10,Fairly,Not planned
3520054829,60 and up,Male,Group of 2+,21 to 50,Over 16,Above avg.,Boots,25 to 30,16 to 20%,12 to 14,Not at all,Attempted
3520079585,40 to 49,Male,Group of 2+,51 to 100,Over 16,Sig. above avg.,Trail runners,35 to 40,16 to 20%,18 to 20,Not at all,Summited
3520198397,50 to 59,Male,Group of 2+,Over 100,5 to 8,Average,Hiking shoes,30 to 35,16 to 20%,10 to 12,Fairly,Not planned
3527098842,40 to 49,Male,Solo,21 to 50,5 to 8,Above avg.,Boots,35 to 40,16 to 20%,14 to 16,Minimally,Summited
3520189736,50 to 59,Female,Group of 2+,Under 5,5 to 8,Below avg.,Boots,30 to 35,16 to 20%,10 to 12,Very,Summited
3571043685,60 and up,Male,Group of 2+,Under 5,5 to 8,Above avg.,Boots,25 to 30,16 to 20%,10 to 12,Minimally,Not planned
3520062979,40 to 49,Female,Group of 2+,Over 100,2 to 4,Above avg.,Boots,25 to 30,16 to 20%,14 to 16,Somewhat,Summited
3521413517,60 and up,Male,Solo,Over 100,9 to 16,Sig. above avg.,Trail runners,30 to 35,16 to 20%,18 to 20,Minimally,Not planned
3647491411,40 to 49,Female,Group of 2+,21 to 50,2 to 4,Below avg.,Boots,35 to 40,16 to 20%,8 to 10,Very,Not planned
3530761481,60 and up,Male,Group of 2+,Over 100,5 to 8,Average,Boots,35 to 40,16 to 20%,16 to 18,Somewhat,Summited
3520987319,50 to 59,Male,Solo,51 to 100,5 to 8,Average,Hiking shoes,35 to 40,16 to 20%,12 to 14,Somewhat,Summited
3531605828,40 to 49,Female,Group of 2+,Over 100,9 to 16,Average,Trail runners,25 to 30,16 to 20%,Under 8,Somewhat,Not planned
3544017038,Under 30,Male,Group of 2+,51 to 100,9 to 16,Above avg.,Trail runners,25 to 30,16 to 20%,16 to 18,Minimally,Summited
3528543430,50 to 59,Female,Mix of group/solo,6 to 10,2 to 4,Sig. above avg.,Hiking shoes,30 to 35,16 to 20%,10 to 12,Fairly,Summited
3528925838,30 to 39,Male,Group of 2+,Over 100,Under 2,Below avg.,Trail runners,Under 25,16 to 20%,12 to 14,Minimally,Not planned
3521777796,50 to 59,Male,Group of 2+,51 to 100,Over 16,Above avg.,Hiking shoes,25 to 30,16 to 20%,8 to 10,Not at all,Not planned
3520027903,Under 30,Male,Group of 2+,21 to 50,5 to 8,Sig. above avg.,Hiking shoes,35 to 40,16 to 20%,14 to 16,Somewhat,Summited
3520357845,50 to 59,Female,Group of 2+,Under 5,Over 16,Out of shape,Boots,40 to 45,16 to 20%,Under 8,Very,Not planned
3587519720,60 and up,Male,Group of 2+,21 to 50,5 to 8,Average,Boots,30 to 35,16 to 20%,8 to 10,Very,Summited
3674308651,Under 30,Female,Mix of group/solo,Under 5,5 to 8,Average,Trail runners,Under 25,16 to 20%,20 and up,Fairly,Summited
3527516567,50 to 59,Male,Group of 2+,11 to 20,5 to 8,Sig. above avg.,Trail runners,30 to 35,16 to 20%,14 to 16,Fairly,Attempted
3533999337,50 to 59,Female,Group of 2+,Under 5,2 to 4,Average,Boots,30 to 35,16 to 20%,10 to 12,Very,Not planned
3580268094,40 to 49,Male,Solo,21 to 50,5 to 8,Below avg.,Boots,45 to 50,16 to 20%,12 to 14,Very,Attempted
3522126541,50 to 59,Male,Group of 2+,51 to 100,2 to 4,Out of shape,Trail runners,35 to 40,16 to 20%,10 to 12,Fairly,Summited
3520108492,50 to 59,Male,Group of 2+,11 to 20,9 to 16,Average,Trail runners,40 to 45,16 to 20%,10 to 12,Somewhat,Summited
3520263930,50 to 59,Male,Solo,Under 5,9 to 16,Out of shape,Boots,45 to 50,16 to 20%,10 to 12,Very,Attempted
3541799914,50 to 59,Female,Group of 2+,11 to 20,2 to 4,Average,Hiking shoes,30 to 35,16 to 20%,8 to 10,Fairly,Not planned
3661360039,60 and up,Male,Group of 2+,21 to 50,Over 16,Above avg.,Hiking shoes,30 to 35,16 to 20%,10 to 12,Fairly,Attempted
3519911134,30 to 39,Male,Group of 2+,11 to 20,5 to 8,Above avg.,Hiking shoes,35 to 40,16 to 20%,10 to 12,Somewhat,Summited
3550657866,Under 30,Female,Group of 2+,6 to 10,Over 16,Average,"Vibrams, sandals, none",25 to 30,16 to 20%,14 to 16,Minimally,Summited
3520468998,50 to 59,Female,Mix of group/solo,51 to 100,9 to 16,Average,Trail runners,30 to 35,16 to 20%,12 to 14,Fairly,Summited
3528142246,60 and up,Female,Group of 2+,21 to 50,Under 2,Out of shape,Hiking shoes,30 to 35,16 to 20%,Under 8,Very,Not planned
3543873953,Under 30,Female,Group of 2+,11 to 20,5 to 8,Average,Trail runners,25 to 30,16 to 20%,18 to 20,Fairly,Summited
3520193160,40 to 49,Male,Mix of group/solo,51 to 100,9 to 16,Below avg.,Boots,45 to 50,16 to 20%,12 to 14,Minimally,Summited
3558057869,50 to 59,Male,Group of 2+,Under 5,9 to 16,Above avg.,Hiking shoes,30 to 35,16 to 20%,12 to 14,Somewhat,Attempted
3544775217,30 to 39,Male,Group of 2+,6 to 10,Under 2,Below avg.,Boots,30 to 35,16 to 20%,Under 8,Somewhat,Not planned
3572497824,30 to 39,Male,Group of 2+,11 to 20,Over 16,Above avg.,Trail runners,30 to 35,16 to 20%,20 and up,Minimally,Summited
3661732210,Under 30,Male,Mix of group/solo,21 to 50,9 to 16,Sig. above avg.,Trail runners,30 to 35,16 to 20%,20 and up,Somewhat,Attempted
3541809583,30 to 39,Female,Mix of group/solo,21 to 50,Over 16,Sig. above avg.,Boots,Under 25,16 to 20%,14 to 16,Somewhat,Not planned
3520035201,Under 30,Male,Group of 2+,11 to 20,9 to 16,Sig. above avg.,Trail runners,30 to 35,16 to 20%,20 and up,Somewhat,Summited
3530036347,40 to 49,Female,Group of 2+,51 to 100,2 to 4,Average,Trail runners,30 to 35,16 to 20%,10 to 12,Very,Summited
3524021761,40 to 49,Male,Group of 2+,51 to 100,9 to 16,Sig. above avg.,Trail runners,30 to 35,16 to 20%,18 to 20,Minimally,Summited
3542358724,50 to 59,Male,Group of 2+,21 to 50,2 to 4,Average,Trail runners,35 to 40,16 to 20%,10 to 12,Minimally,Summited
3520398688,50 to 59,Female,Group of 2+,11 to 20,5 to 8,Sig. above avg.,Trail runners,25 to 30,16 to 20%,14 to 16,Somewhat,Summited
3670608039,60 and up,Male,Group of 2+,51 to 100,5 to 8,Average,Boots,30 to 35,16 to 20%,Under 8,Minimally,Not planned
3520191262,40 to 49,Male,Solo,Over 100,5 to 8,Average,Trail runners,35 to 40,16 to 20%,14 to 16,Somewhat,Summited
3542312648,50 to 59,Male,Group of 2+,21 to 50,9 to 16,Average,Trail runners,40 to 45,16 to 20%,10 to 12,Very,Summited
3520166727,40 to 49,Male,Solo,11 to 20,5 to 8,Average,Trail runners,40 to 45,16 to 20%,12 to 14,Somewhat,Summited
3523005079,Under 30,Female,Group of 2+,21 to 50,5 to 8,Above avg.,Trail runners,25 to 30,16 to 20%,16 to 18,Somewhat,Attempted
3520342072,Under 30,Female,Group of 2+,21 to 50,2 to 4,Average,Boots,35 to 40,16 to 20%,12 to 14,Minimally,Summited
3620784082,40 to 49,Male,Solo,Under 5,2 to 4,Above avg.,"Vibrams, sandals, none",30 to 35,16 to 20%,18 to 20,Very,Summited
3522590953,40 to 49,Male,Group of 2+,51 to 100,2 to 4,Average,Trail runners,30 to 35,16 to 20%,10 to 12,Somewhat,Summited
3523134975,40 to 49,Male,Solo,Under 5,5 to 8,Average,Trail runners,30 to 35,16 to 20%,12 to 14,Somewhat,Summited
